Prediction,DiffDock Confidence,SMINA Affinity,SMINA Intramolecular Energy,SMINA Minimized Affinity,SMINA Minimized RMSD
rank1_confidence-1.40.sdf,-1.4,42.55766,-0.41181,-3.9062,4.8009
rank2_confidence-1.55.sdf,-1.55,37.16935,-0.64626,7.75799,1.60894
rank3_confidence-1.63.sdf,-1.63,51.78599,-0.48436,7.09201,2.42884
rank4_confidence-1.64.sdf,-1.64,51.86066,-0.49064,6.92116,2.78699
rank5_confidence-1.66.sdf,-1.66,47.57342,-0.67669,-4.02685,5.69563
rank6_confidence-1.70.sdf,-1.7,50.77577,-0.55927,7.75765,1.7008
rank7_confidence-1.77.sdf,-1.77,46.43958,-0.64766,6.0007,3.18323
rank8_confidence-1.77.sdf,-1.77,47.47307,-0.65737,7.15273,2.61129
rank9_confidence-1.78.sdf,-1.78,57.06496,-0.50942,6.26619,3.43203
rank10_confidence-1.79.sdf,-1.79,50.38864,-0.63307,7.75044,1.69169
rank11_confidence-1.79.sdf,-1.79,55.56771,-0.66702,7.75043,1.77383
rank12_confidence-1.83.sdf,-1.83,52.21933,-0.65097,7.77384,1.85725
rank13_confidence-1.87.sdf,-1.87,52.40146,-0.61018,7.73084,1.91267
rank14_confidence-1.87.sdf,-1.87,57.49231,-0.63308,7.75074,1.73327
rank15_confidence-1.88.sdf,-1.88,61.36939,-0.53052,6.36147,3.3187
rank16_confidence-1.89.sdf,-1.89,50.95352,-0.61467,-4.00799,5.16986
rank17_confidence-1.89.sdf,-1.89,44.0921,-0.52684,7.75556,1.50733
rank18_confidence-2.01.sdf,-2.01,54.20948,-0.58764,7.91816,1.91875
rank19_confidence-2.04.sdf,-2.04,55.8143,-0.58361,7.7504,1.65044
rank20_confidence-2.08.sdf,-2.08,62.68007,-0.61485,7.75046,1.7356
rank21_confidence-2.12.sdf,-2.12,53.99634,-0.55585,7.75042,1.60543
rank22_confidence-2.18.sdf,-2.18,60.96107,-0.50128,6.44263,3.0668
rank23_confidence-2.23.sdf,-2.23,51.36675,-0.5324,7.76274,1.54175
rank24_confidence-2.32.sdf,-2.32,57.15294,-0.51341,7.20174,2.7266
rank25_confidence-2.40.sdf,-2.4,78.26634,0.07621,8.54083,3.04436
rank26_confidence-2.62.sdf,-2.62,85.24962,-0.3906,8.88228,2.86003
rank27_confidence-2.64.sdf,-2.64,83.09402,-0.36679,8.54089,2.72806
rank28_confidence-2.68.sdf,-2.68,76.75359,-0.60131,4.02284,4.00525
rank29_confidence-2.74.sdf,-2.74,85.48234,-0.57514,5.34118,4.53352
rank30_confidence-2.77.sdf,-2.77,80.95439,-0.57283,-3.74744,5.94474
rank31_confidence-3.21.sdf,-3.21,92.10221,-0.6029,9.02352,3.17943
rank32_confidence-3.34.sdf,-3.34,92.04536,-0.5275,-6.13104,7.15252
rank33_confidence-3.41.sdf,-3.41,97.87492,-0.53251,8.32882,2.69015
rank34_confidence-3.46.sdf,-3.46,86.96551,-0.54079,-4.9434,6.49482
rank35_confidence-3.57.sdf,-3.57,104.55057,-0.49678,-3.7834,6.27023
rank36_confidence-3.62.sdf,-3.62,101.83252,-0.30287,-1.24888,9.5241
rank37_confidence-3.62.sdf,-3.62,99.00371,-0.36112,-3.3573,6.77869
rank38_confidence-3.70.sdf,-3.7,116.1272,-0.55148,13.91465,3.31481
rank39_confidence-3.70.sdf,-3.7,95.82085,-0.4164,6.80883,4.33168
rank40_confidence-3.71.sdf,-3.71,110.52704,-0.52132,13.91449,3.14175
rank41_confidence-3.75.sdf,-3.75,106.12124,-0.51332,-4.72399,7.04729
rank42_confidence-3.75.sdf,-3.75,103.97531,-0.51972,6.50629,4.87874
rank43_confidence-3.80.sdf,-3.8,105.50402,-0.51647,-3.8309,6.67509
rank44_confidence-3.81.sdf,-3.81,98.37353,-0.32192,-3.52169,6.34703
rank45_confidence-3.81.sdf,-3.81,103.76332,-0.52093,-3.53651,7.05501
rank46_confidence-3.81.sdf,-3.81,103.33101,-0.51986,-2.95267,6.17937
rank47_confidence-3.82.sdf,-3.82,110.47803,-0.53101,7.75022,3.34987
rank48_confidence-3.83.sdf,-3.83,98.13381,-0.3197,-2.54907,5.97775
rank49_confidence-3.84.sdf,-3.84,97.46928,-0.53755,-6.23023,7.3251
rank50_confidence-3.84.sdf,-3.84,121.40333,-0.54284,13.90363,3.71076
rank51_confidence-3.84.sdf,-3.84,101.1628,-0.52334,7.75063,3.31345
rank52_confidence-3.84.sdf,-3.84,103.97534,-0.53715,-5.37525,7.08063
rank53_confidence-3.85.sdf,-3.85,103.40746,-0.53562,-4.44143,6.82105
rank54_confidence-3.86.sdf,-3.86,113.59131,-0.51506,-3.93788,6.46003
rank55_confidence-3.86.sdf,-3.86,102.0224,-0.4339,-5.396,6.46563
rank56_confidence-3.87.sdf,-3.87,105.41946,-0.51914,-0.5751,5.95456
rank57_confidence-3.87.sdf,-3.87,108.90275,-0.5358,-1.30577,6.09645
rank58_confidence-3.88.sdf,-3.88,106.39108,-0.49992,-2.22155,5.94331
rank59_confidence-3.88.sdf,-3.88,111.26863,-0.50161,-4.13951,7.02328
rank60_confidence-3.89.sdf,-3.89,104.37909,-0.50479,-2.41649,6.45483
rank61_confidence-3.89.sdf,-3.89,101.43488,-0.5333,-1.07827,6.33544
rank62_confidence-3.90.sdf,-3.9,105.67764,-0.50554,-3.5861,6.47766
rank63_confidence-3.90.sdf,-3.9,107.05448,-0.53008,-1.22777,5.88273
rank64_confidence-3.90.sdf,-3.9,98.15087,-0.48069,-4.51872,6.64977
rank65_confidence-3.91.sdf,-3.91,105.07341,-0.53087,-3.25635,6.67611
rank66_confidence-3.92.sdf,-3.92,125.55429,-0.53926,13.91289,3.53279
rank67_confidence-3.92.sdf,-3.92,107.24495,-0.53086,-2.75393,6.21556
rank68_confidence-3.93.sdf,-3.93,106.06973,-0.53272,-4.85024,6.91327
rank69_confidence-3.94.sdf,-3.94,105.0422,-0.50267,-5.57403,7.09315
rank70_confidence-3.94.sdf,-3.94,103.83313,-0.53835,-3.94134,6.76986
rank71_confidence-3.94.sdf,-3.94,98.48025,-0.43166,-5.16676,6.84082
rank72_confidence-3.94.sdf,-3.94,102.90254,-0.50988,3.14822,5.35419
rank73_confidence-3.94.sdf,-3.94,113.0367,-0.49955,-3.64613,6.90548
rank74_confidence-3.95.sdf,-3.95,106.80122,-0.48675,-0.64874,6.00839
rank75_confidence-3.96.sdf,-3.96,106.75441,-0.51878,-3.33494,6.16463
rank76_confidence-3.97.sdf,-3.97,108.41903,-0.51133,-4.82846,6.99931
rank77_confidence-3.97.sdf,-3.97,105.90784,-0.51733,-0.46967,5.85352
rank78_confidence-3.98.sdf,-3.98,125.4385,-0.54907,13.91454,3.51862
rank79_confidence-3.98.sdf,-3.98,106.53381,-0.53257,-2.14076,6.00176
rank80_confidence-3.99.sdf,-3.99,112.13947,-0.5267,-3.61974,6.65515
rank81_confidence-3.99.sdf,-3.99,107.63057,-0.51979,4.42933,4.9889
rank82_confidence-4.00.sdf,-4.0,109.93481,-0.50164,-4.83705,6.51507
rank83_confidence-4.02.sdf,-4.02,110.10864,-0.50785,-3.94533,7.10287
rank84_confidence-4.03.sdf,-4.03,111.35668,-0.50853,-2.72853,6.10995
rank85_confidence-4.03.sdf,-4.03,116.53593,-0.51176,6.07016,8.93256
rank86_confidence-4.04.sdf,-4.04,103.25741,-0.51347,-5.95844,6.96574
rank87_confidence-4.05.sdf,-4.05,97.65849,-0.51015,-4.55744,6.56572
rank88_confidence-4.05.sdf,-4.05,110.38474,-0.52408,-1.69088,6.30215
rank89_confidence-4.05.sdf,-4.05,101.18223,-0.48679,-4.47138,7.12865
rank90_confidence-4.09.sdf,-4.09,113.78736,-0.52135,-2.4941,6.24087
rank91_confidence-4.09.sdf,-4.09,111.15017,-0.51756,-3.54933,6.3743
rank92_confidence-4.09.sdf,-4.09,109.23822,-0.51328,-2.5944,6.03833
rank93_confidence-4.10.sdf,-4.1,121.42934,-0.54175,13.91464,3.46818
rank94_confidence-4.11.sdf,-4.11,110.71047,-0.5434,3.99049,8.00712
rank95_confidence-4.11.sdf,-4.11,110.53909,-0.5269,-3.85656,6.72328
rank96_confidence-4.11.sdf,-4.11,103.91809,-0.4216,-4.06867,6.73866
rank97_confidence-4.19.sdf,-4.19,113.49328,-0.51787,3.11898,7.58267
rank98_confidence-4.19.sdf,-4.19,112.62699,-0.52994,-2.03754,6.24421
rank99_confidence-4.27.sdf,-4.27,108.03993,-0.53677,0.72312,5.67706
rank100_confidence-5.10.sdf,-5.1,0.0,-0.6638,0.0,2.04742
