Prediction,DiffDock Confidence,SMINA Affinity,SMINA Intramolecular Energy,SMINA Minimized Affinity,SMINA Minimized RMSD
rank75_confidence-3.41.sdf,-3.41,92.14593,-0.56532,6.91118,2.44879
rank76_confidence-3.57.sdf,-3.57,109.16279,-0.62742,11.97537,2.69238
rank77_confidence-3.61.sdf,-3.61,104.66968,-0.61207,-4.44753,7.39319
rank78_confidence-3.62.sdf,-3.62,104.98105,-0.57414,2.36854,3.1377
rank79_confidence-3.69.sdf,-3.69,108.22598,-0.608,-1.82525,5.15859
rank80_confidence-3.77.sdf,-3.77,98.31025,-0.55828,13.63213,3.81645
rank81_confidence-3.79.sdf,-3.79,103.32024,-0.55182,9.50544,2.80949
rank82_confidence-3.83.sdf,-3.83,102.43814,-0.53691,-4.32837,8.97959
rank83_confidence-3.89.sdf,-3.89,103.47635,-0.5595,-5.64747,6.05452
rank84_confidence-3.90.sdf,-3.9,99.67037,-0.56666,-5.25627,9.14037
rank85_confidence-3.92.sdf,-3.92,100.35354,-0.60647,-2.11043,6.52534
rank86_confidence-3.96.sdf,-3.96,106.63327,-0.59302,-2.71599,9.35141
rank87_confidence-3.97.sdf,-3.97,108.22345,-0.5919,-5.40495,8.00303
rank88_confidence-4.04.sdf,-4.04,101.21238,-0.61357,10.25058,4.78967
rank89_confidence-4.09.sdf,-4.09,110.78586,-0.60014,-5.74127,6.82179
rank90_confidence-4.09.sdf,-4.09,108.40055,-0.6446,1.07546,7.1023
rank91_confidence-4.09.sdf,-4.09,108.25937,-0.61792,9.50408,2.78503
rank92_confidence-4.13.sdf,-4.13,108.89429,-0.58184,10.62292,2.76299
rank93_confidence-4.13.sdf,-4.13,127.0426,-0.55313,22.55663,4.64825
rank94_confidence-4.15.sdf,-4.15,110.67221,-0.65359,9.66689,2.76317
rank95_confidence-4.20.sdf,-4.2,104.65655,-0.61542,9.57883,2.68109
rank96_confidence-4.21.sdf,-4.21,110.49678,-0.59494,9.70984,2.78331
rank97_confidence-4.24.sdf,-4.24,141.81856,-0.6574,7.00594,3.48427
rank98_confidence-4.28.sdf,-4.28,103.95538,-0.55055,3.12543,4.24129
rank99_confidence-4.55.sdf,-4.55,128.88426,-0.54869,33.73333,2.51896
rank100_confidence-5.09.sdf,-5.09,0.0,-0.6098,0.0,1.23873
